size, tseq, tpar, threads
100, 0.000060, 0.000630, 2
200, 0.000195, 0.001264, 2
300, 0.000312, 0.001653, 2
400, 0.000539, 0.002342, 2
500, 0.000812, 0.002849, 2
600, 0.001145, 0.003505, 2
700, 0.001631, 0.004370, 2
800, 0.002330, 0.005610, 2
900, 0.002605, 0.005649, 2
1000, 0.003074, 0.006552, 2
1100, 0.003768, 0.007385, 2
1200, 0.004473, 0.008837, 2
1300, 0.005211, 0.009081, 2
1400, 0.006201, 0.010192, 2
1500, 0.011609, 0.013421, 2
1600, 0.013483, 0.021967, 2
1700, 0.011185, 0.018627, 2
1800, 0.010525, 0.016551, 2
1900, 0.011038, 0.016697, 2
2000, 0.012421, 0.016879, 2
2100, 0.013681, 0.018622, 2
2200, 0.014708, 0.019885, 2
2300, 0.016338, 0.020155, 2
2400, 0.022462, 0.034010, 2
2500, 0.019619, 0.026290, 2
2600, 0.020816, 0.025318, 2
2700, 0.022986, 0.027160, 2
2800, 0.023879, 0.027812, 2
2900, 0.025836, 0.028373, 2
3000, 0.027639, 0.032885, 2
3100, 0.029562, 0.032141, 2
3200, 0.031511, 0.035809, 2
3300, 0.033042, 0.034919, 2
3400, 0.037023, 0.039021, 2
3500, 0.037449, 0.040555, 2
3600, 0.039787, 0.043564, 2
3700, 0.044381, 0.042579, 2
3800, 0.044400, 0.051249, 2
3900, 0.046895, 0.049854, 2
4000, 0.051432, 0.059867, 2
4100, 0.051372, 0.056656, 2
4200, 0.104361, 0.098124, 2
4300, 0.058353, 0.054621, 2
4400, 0.058610, 0.060374, 2
4500, 0.081615, 0.059871, 2
4600, 0.067313, 0.067889, 2
4700, 0.092361, 0.080213, 2
4800, 0.079860, 0.073727, 2
4900, 0.079679, 0.121499, 2
5000, 0.079947, 0.080386, 2
5100, 0.084202, 0.077161, 2
5200, 0.082610, 0.085372, 2
5300, 0.092621, 0.088327, 2
5400, 0.091912, 0.080270, 2
5500, 0.093702, 0.081335, 2
5600, 0.094543, 0.090975, 2
5700, 0.099068, 0.087140, 2
5800, 0.120286, 0.091456, 2
5900, 0.110155, 0.107414, 2
6000, 0.113507, 0.108657, 2
6100, 0.147574, 0.103622, 2
6200, 0.148969, 0.130708, 2
6300, 0.141785, 0.161218, 2
6400, 0.128663, 0.122915, 2
6500, 0.134063, 0.111061, 2
6600, 0.138210, 0.126074, 2
6700, 0.135563, 0.130131, 2
6800, 0.139613, 0.127198, 2
6900, 0.154074, 0.177175, 2
7000, 0.153666, 0.138711, 2
7100, 0.170473, 0.142085, 2
7200, 0.167993, 0.155455, 2
7300, 0.171711, 0.150457, 2
7400, 0.186544, 0.156823, 2
7500, 0.171152, 0.133205, 2
7600, 0.184931, 0.142683, 2
7700, 0.211037, 0.196702, 2
7800, 0.279118, 0.144752, 2
7900, 0.187592, 0.151843, 2
8000, 0.201631, 0.173128, 2
8100, 0.237271, 0.211521, 2
8200, 0.298469, 0.231293, 2
8300, 0.224312, 0.183369, 2
8400, 0.271725, 0.205251, 2
8500, 0.238808, 0.195920, 2
8600, 0.235076, 0.311289, 2
8700, 0.250555, 0.188455, 2
8800, 0.234096, 0.177910, 2
8900, 0.244041, 0.189413, 2
9000, 0.280512, 0.240074, 2
9100, 0.249971, 0.186233, 2
9200, 0.256453, 0.196012, 2
9300, 0.267116, 0.215592, 2
9400, 0.276779, 0.221642, 2
9500, 0.310715, 0.265799, 2
9600, 0.320528, 0.283239, 2
9700, 0.284747, 0.310171, 2
9800, 0.318638, 0.275731, 2
9900, 0.306651, 0.227390, 2
10000, 0.304398, 0.225694, 2
10100, 0.308373, 0.268272, 2
10200, 0.449696, 0.326741, 2
10300, 0.341864, 0.250005, 2
10400, 0.359347, 0.262839, 2
10500, 0.357850, 0.356102, 2
10600, 0.455416, 0.291946, 2
10700, 0.419665, 0.274181, 2
10800, 0.352627, 0.332914, 2
10900, 0.358678, 0.269995, 2
11000, 0.369886, 0.316306, 2
11100, 0.372624, 0.277940, 2
11200, 0.380844, 0.285044, 2
11300, 0.388071, 0.278555, 2
11400, 0.393008, 0.296588, 2
11500, 0.401599, 0.284883, 2
11600, 0.408317, 0.318714, 2
11700, 0.414928, 0.296653, 2
11800, 0.422229, 0.303305, 2
11900, 0.430807, 0.306694, 2
12000, 0.435354, 0.324552, 2
12100, 0.444097, 0.310598, 2
12200, 0.450215, 0.340557, 2
12300, 0.457582, 0.330669, 2
12400, 0.479289, 0.341638, 2
12500, 0.473152, 0.326621, 2
12600, 0.481273, 0.347689, 2
12700, 0.488975, 0.353808, 2
12800, 0.498122, 0.355786, 2
12900, 0.503516, 0.360749, 2
13000, 0.612749, 0.409014, 2
13100, 0.521375, 0.422568, 2
13200, 0.526395, 0.392905, 2
13300, 0.537708, 0.380628, 2
13400, 0.544821, 0.390458, 2
13500, 0.554142, 0.438474, 2
13600, 0.560803, 0.397520, 2
13700, 0.662938, 0.496829, 2
13800, 0.575917, 0.412520, 2
13900, 0.592587, 0.423587, 2
14000, 0.595558, 0.408922, 2
14100, 0.602065, 0.410326, 2
14200, 0.619481, 0.419437, 2
14300, 0.650844, 0.439573, 2
14400, 0.633569, 0.467106, 2
14500, 0.643493, 0.446598, 2
14600, 0.644209, 0.434721, 2
14700, 0.658245, 0.462385, 2
14800, 0.662001, 0.474474, 2
14900, 0.680034, 0.459659, 2
15000, 0.685827, 0.482401, 2
15100, 0.694359, 0.455981, 2
15200, 0.702728, 0.475897, 2
15300, 0.727944, 0.563879, 2
15400, 0.725504, 0.498927, 2
15500, 0.730970, 0.502461, 2
15600, 0.749103, 0.513210, 2
15700, 0.751348, 0.519779, 2
15800, 0.762598, 0.517611, 2
15900, 0.765500, 0.510182, 2
16000, 0.782067, 0.529721, 2
16100, 0.788014, 0.528265, 2
16200, 0.799870, 0.556669, 2
16300, 0.805449, 0.565116, 2
16400, 0.819972, 0.572158, 2
16500, 0.825543, 0.566573, 2
16600, 0.835311, 0.563452, 2
16700, 0.849570, 0.577167, 2
16800, 0.860013, 0.565992, 2
16900, 0.867182, 0.582294, 2
17000, 0.883376, 0.596146, 2
17100, 0.886391, 0.600457, 2
17200, 0.903142, 0.617856, 2
17300, 0.911264, 0.630615, 2
17400, 1.031006, 0.639865, 2
17500, 0.939643, 0.606281, 2
17600, 0.938503, 0.655666, 2
17700, 0.954510, 0.628734, 2
17800, 0.961142, 0.646294, 2
17900, 0.971548, 0.688453, 2
18000, 0.985382, 0.662000, 2
18100, 0.998144, 0.674472, 2
18200, 1.006881, 0.671932, 2
18300, 1.019080, 0.688905, 2
18400, 1.028700, 0.686630, 2
18500, 1.039534, 0.684985, 2
18600, 1.050499, 0.695424, 2
18700, 1.063733, 0.708043, 2
18800, 1.083539, 0.721559, 2
18900, 1.089867, 0.728759, 2
19000, 1.104419, 0.799256, 2
19100, 1.113784, 0.727710, 2
19200, 1.252368, 0.897632, 2
19300, 1.148348, 0.785731, 2
19400, 1.146857, 0.757658, 2
19500, 1.158927, 0.771631, 2
19600, 1.168598, 0.763085, 2
19700, 1.180322, 0.800334, 2
19800, 1.208822, 0.793871, 2
19900, 1.203448, 0.799731, 2
20000, 1.216832, 0.813512, 2
